"Date","Price","Open","High","Low","Change %"
"02/09/2021","-0.094","-0.104","-0.094","-0.104","-2.59%"
"02/08/2021","-0.097","-0.104","-0.097","-0.104","-7.21%"
"02/07/2021","-0.104","-0.104","-0.104","-0.104","9.47%"
"02/05/2021","-0.095","-0.104","-0.095","-0.104","-1.55%"
"02/04/2021","-0.097","-0.104","-0.097","-0.104","1.58%"
"02/03/2021","-0.095","-0.104","-0.095","-0.104","-2.56%"
"02/02/2021","-0.097","-0.104","-0.097","-0.104","0.00%"
"02/01/2021","-0.097","-0.104","-0.097","-0.104","-1.52%"
"01/31/2021","-0.099","-0.099","-0.099","-0.099","0.00%"
"01/29/2021","-0.099","-0.089","-0.089","-0.099","11.24%"
"01/28/2021","-0.089","-0.089","-0.089","-0.089","-2.20%"
"01/27/2021","-0.091","-0.089","-0.089","-0.091","1.11%"
"01/26/2021","-0.090","-0.089","-0.089","-0.090","1.12%"
"01/25/2021","-0.089","-0.084","-0.084","-0.089","5.95%"
"01/24/2021","-0.084","-0.084","-0.084","-0.084","-2.33%"
"01/22/2021","-0.086","-0.094","-0.086","-0.094","-2.82%"
"01/21/2021","-0.089","-0.094","-0.089","-0.094","-5.85%"
"01/20/2021","-0.094","-0.099","-0.089","-0.099","0.00%"
"01/19/2021","-0.094","-0.099","-0.094","-0.099","-5.56%"
"01/18/2021","-0.099","-0.094","-0.094","-0.099","5.32%"
"01/17/2021","-0.094","-0.094","-0.094","-0.094","-2.59%"
"01/15/2021","-0.097","-0.089","-0.089","-0.097","9.04%"
"01/14/2021","-0.089","-0.089","-0.089","-0.089","2.91%"
"01/13/2021","-0.086","-0.089","-0.086","-0.089","2.38%"
"01/12/2021","-0.084","-0.089","-0.084","-0.089","-5.62%"
"01/11/2021","-0.089","-0.089","-0.089","-0.089","-51.50%"
"01/08/2021","-0.184","-0.084","-0.084","-0.184","127.95%"
"01/07/2021","-0.080","-0.084","-0.080","-0.084","1.90%"
"01/06/2021","-0.079","-0.084","-0.079","-0.084","-5.95%"
"01/05/2021","-0.084","-0.104","-0.084","-0.104","-19.23%"
"01/04/2021","-0.104","-0.104","-0.104","-0.104","0.00%"
"01/03/2021","-0.104","-0.104","-0.104","-0.104","0.00%"
"12/30/2020","-0.104","-0.104","-0.104","-0.104","10.64%"
"12/29/2020","-0.094","-0.104","-0.094","-0.104","-9.62%"
"12/28/2020","-0.104","-0.104","-0.104","-0.104","0.00%"
"12/27/2020","-0.104","-0.104","-0.104","-0.104","0.00%"
"12/25/2020","-0.104","-0.104","-0.104","-0.104","13.66%"
"12/24/2020","-0.091","-0.104","-0.091","-0.104","1.67%"
"12/23/2020","-0.090","-0.104","-0.090","-0.104","1.12%"
"12/22/2020","-0.089","-0.104","-0.089","-0.104","-14.42%"
"12/21/2020","-0.104","-0.099","-0.099","-0.104","5.05%"
"12/20/2020","-0.099","-0.099","-0.099","-0.099","0.00%"
"12/18/2020","-0.099","-0.099","-0.099","-0.099","2.59%"
"12/17/2020","-0.097","-0.094","-0.094","-0.097","5.46%"
"12/16/2020","-0.091","-0.094","-0.091","-0.094","0.00%"
"12/15/2020","-0.091","-0.094","-0.091","-0.094","-2.66%"
"12/14/2020","-0.094","-0.084","-0.084","-0.094","5.62%"
"12/13/2020","-0.089","-0.089","-0.089","-0.089","0.00%"
"12/11/2020","-0.089","-0.089","-0.089","-0.089","2.89%"
"12/10/2020","-0.086","-0.089","-0.086","-0.089","-2.81%"
"12/09/2020","-0.089","-0.084","-0.084","-0.089","10.56%"
"12/08/2020","-0.080","-0.084","-0.080","-0.084","1.26%"
"12/07/2020","-0.079","-0.084","-0.079","-0.084","-10.67%"
"12/06/2020","-0.089","-0.089","-0.089","-0.089","7.88%"
"12/04/2020","-0.083","-0.089","-0.083","-0.089","0.00%"
"12/03/2020","-0.083","-0.089","-0.083","-0.089","1.23%"
"12/02/2020","-0.082","-0.089","-0.082","-0.089","-8.43%"
"12/01/2020","-0.089","-0.084","-0.080","-0.089","5.95%"
"11/30/2020","-0.084","-0.089","-0.079","-0.089","-5.62%"
"11/29/2020","-0.089","-0.089","-0.089","-0.089","5.95%"
"11/27/2020","-0.084","-0.099","-0.084","-0.099","-15.15%"
"11/26/2020","-0.099","-0.104","-0.087","-0.104","17.86%"
"11/25/2020","-0.084","-0.104","-0.084","-0.104","0.00%"
"11/24/2020","-0.084","-0.104","-0.084","-0.104","-10.64%"
"11/20/2020","-0.094","-0.104","-0.094","-0.114","-9.62%"
"11/19/2020","-0.104","-0.109","-0.091","-0.109","13.66%"
"11/18/2020","-0.091","-0.109","-0.091","-0.109","-16.06%"
"11/17/2020","-0.109","-0.114","-0.091","-0.114","22.47%"
"11/16/2020","-0.089","-0.114","-0.089","-0.114","-21.93%"
"11/15/2020","-0.114","-0.114","-0.114","-0.114","24.59%"
"11/13/2020","-0.091","-0.099","-0.091","-0.104","6.40%"
"11/12/2020","-0.086","-0.099","-0.086","-0.099","-13.13%"
"11/11/2020","-0.099","-0.094","-0.087","-0.099","5.32%"
"11/10/2020","-0.094","-0.099","-0.086","-0.099","-5.05%"
"11/09/2020","-0.099","-0.094","-0.086","-0.099","5.32%"
"11/08/2020","-0.094","-0.094","-0.094","-0.094","5.62%"
"11/06/2020","-0.089","-0.094","-0.089","-0.099","4.71%"
"11/05/2020","-0.085","-0.094","-0.085","-0.094","-9.57%"
"11/04/2020","-0.094","-0.089","-0.089","-0.094","5.62%"
"11/03/2020","-0.089","-0.089","-0.089","-0.089","6.59%"
"11/02/2020","-0.083","-0.094","-0.083","-0.094","-3.47%"
"10/30/2020","-0.086","-0.089","-0.086","-0.094","3.59%"
"10/29/2020","-0.083","-0.089","-0.083","-0.089","0.00%"
"10/28/2020","-0.083","-0.089","-0.083","-0.089","-6.18%"
"10/27/2020","-0.089","-0.079","-0.079","-0.089","12.66%"
"10/26/2020","-0.079","-0.079","-0.079","-0.079","0.00%"
"10/25/2020","-0.079","-0.079","-0.079","-0.079","-56.83%"
"10/23/2020","-0.183","-0.094","-0.094","-0.183","121.82%"
"10/22/2020","-0.083","-0.094","-0.083","-0.094","-12.23%"
"10/21/2020","-0.094","-0.084","-0.084","-0.094","11.90%"
"10/20/2020","-0.084","-0.094","-0.084","-0.094","-10.64%"
"10/19/2020","-0.094","-0.089","-0.089","-0.094","5.62%"
"10/18/2020","-0.089","-0.089","-0.089","-0.089","9.20%"
"10/16/2020","-0.082","-0.089","-0.082","-0.089","0.00%"
"10/15/2020","-0.082","-0.089","-0.082","-0.089","0.00%"
"10/14/2020","-0.082","-0.089","-0.082","-0.089","0.00%"
"10/13/2020","-0.082","-0.089","-0.082","-0.089","-8.43%"
